title,subject,actual_price,actual,own_price_bin,own,meta
Galloping Horse Blur,3,1200,0,0,0,0
Squirrel Hole,3,85,0,0,0,0
Red Scarf,3,54000,1,1,0,0
Prelude,3,7500,0,1,0,0.1
Asleep,3,2500,0,1,0,0
muse 18,3,3750,0,0,0,0
scarlet,3,4000,0,1,0,0.1
Sinking Ship,3,902564,1,1,0,0
The town sonnets,3,950,0,1,0,0
The girl in red,3,950,0,0,0,0
Hotel Window,3,26896000,1,1,0,0.85
Botticelli e Filippino,3,7000,0,1,0,0.2
Ericksons,3,10344000,1,1,0,0.25
BLUE SELLY 2,3,3200,0,1,0,0
Censorship,3,7500,0,1,0,0.75
You are beautiful,3,2800,0,1,0,0
HOW MUCH,3,25,0,1,0,0
Chorus,3,4800,0,1,0,0
Morning,3,1100,0,0,0,0
Moth,3,747825,1,1,0,0.4
Green Dress In Blue Space,3,4500,0,1,0,0
Falling Figure with Bird,3,1248000,1,1,0,0.1
Those Who Are Here Again,3,824000,1,1,0,0.25
Camel Driver,3,4500,0,0,0,0
Portrait-2,3,950,0,1,0,0
1304,3,6000,0,1,0,0.1
sleepy land,3,65,0,0,0,0
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,3,8000,0,0,0,0
Mapping the Soul,3,35,0,0,0,0
Bobs World,3,822400,1,1,0,0.1
Recompensa,3,980,0,1,0,0.03
High Society,3,968000,1,1,0,0.25
Jasmine,3,4200,0,1,0,0.25
A Question of Balance,3,950,0,2,1,0.15
Panic,3,75,0,0,0,0
under the sun,3,4800,0,1,0,0.12
abstract66,3,7500,0,1,0,0.15
White line melody,3,850,0,1,0,0
Lavender Mist,3,420000,1,1,0,0.1
Figure 4,3,17400000,1,1,0,0
Sharp Angle,3,350,0,0,0,0
Colorado River,3,192000,1,1,0,0
structure I,3,50,0,1,0,0
Self-Portrait as Goofy-Foot,3,744000,1,1,0,0.04
tree of life,3,9000,0,1,0,0
Flannan,3,936000,1,1,0,0
Calvary,3,850,0,1,0,0
RED CHANGER,3,9100,0,1,0,0.05
Samurai,3,85,0,1,0,0
Standing Male Nude in the Shower,3,1160000,1,1,0,0.1
Folly,3,1200,0,1,0,0.15
a place,3,60,0,1,0,0
Nude Aqua,3,70,0,1,0,0
Bruce Bernard,3,119556,1,1,0,0.1
Yellow spin,3,6000,0,1,0,0
dance in the living room,3,8000,0,1,0,0.02
Birdie View II,3,1625,0,1,0,0
Rhythmic Structure,3,4500,0,1,0,0
Dilusion,3,750,0,1,0,0
On The Couch,4,700,0,0,0,0.02
conversation with spoonbill,4,50,0,0,0,0.05
Nu debout,4,689600,1,2,1,0.8
ramana,4,9600,0,0,0,0.15
Captives,4,779200,1,0,0,0.02
Intruder,4,20,0,0,0,0
Midsummer Night,4,650,0,0,0,0
Waiting for the rain,4,100,0,0,0,0
Flor,4,800,0,1,0,0.05
Red Irises,4,2500,0,1,0,0.05
celestial,4,1900,0,1,0,0.45
Amazing land,4,89,0,0,0,0
Lotus Rising,4,14400,0,1,0,0.1
Mandala No3,4,1500,0,1,0,0.1
Quality Material,4,4408000,1,1,0,0.5
It is my thing this Evening,4,4500,0,0,0,0.15
Untitled - P137,4,1810276,1,1,0,0.6
Canada Two Toronto,4,8550,0,0,0,0.01
Night,4,1384000,1,2,1,0.95
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",4,240000,1,1,0,0.4
Head and Bottle,4,6536000,1,1,0,0.06
Keep Me Safe,4,119556,1,1,0,0.35
Mouth #2,4,2168000,1,1,0,0.24
M-39,4,96000,1,1,0,0.6
Armenian Question,4,288000,1,1,0,0.15
Lip-biter,4,384000,1,2,1,0.6
Elemental 11,4,675,0,1,0,0.2
Interval Series apolyo,4,9000,0,1,0,0.17
Galloping Horse Blur,4,1200,0,0,0,0
Squirrel Hole,4,85,0,1,0,0.12
Red Scarf,4,54000,1,1,0,0.2
Prelude,4,7500,0,1,0,0.07
Asleep,4,2500,0,1,0,0.07
muse 18,4,3750,0,1,0,0.1
scarlet,4,4000,0,1,0,0.1
Sinking Ship,4,902564,1,1,0,0.14
The town sonnets,4,950,0,1,0,0.2
The girl in red,4,950,0,2,1,0.8
Hotel Window,4,26896000,1,3,1,0.95
Botticelli e Filippino,4,7000,0,1,0,0.6
Ericksons,4,10344000,1,3,1,1
BLUE SELLY 2,4,3200,0,0,0,0.07
Censorship,4,7500,0,2,1,0.85
You are beautiful,4,2800,0,1,0,0.5
Portrait of the Artist and His Friends,4,2618925,1,1,0,0.02
HOW MUCH,4,25,0,1,0,0.2
Chorus,4,4800,0,1,0,0.2
Tender Nurse,4,2256000,1,1,0,0.15
Morning,4,1100,0,1,0,0.2
Moth,4,747825,1,3,1,0.99
Green Dress In Blue Space,4,4500,0,1,0,0.12
Falling Figure with Bird,4,1248000,1,1,0,0.25
Those Who Are Here Again,4,824000,1,1,0,0.07
Camel Driver,4,4500,0,1,0,0.07
Portrait-2,4,950,0,1,0,0.2
1304,4,6000,0,1,0,0.55
sleepy land,4,65,0,0,0,0.03
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,4,8000,0,1,0,0.2
Mapping the Soul,4,35,0,0,0,0
Bobs World,4,822400,1,1,0,0.15
Recompensa,4,980,0,1,0,0.15
High Society,4,968000,1,2,1,0.6
Jasmine,4,4200,0,1,0,0.2
A Question of Balance,4,950,0,1,0,0.1
Panic,4,75,0,0,0,0
under the sun,4,4800,0,1,0,0.02
abstract66,4,7500,0,0,0,0.07
White line melody,4,850,0,1,0,0.04
Lavender Mist,4,420000,1,3,1,1
Figure 4,4,17400000,1,3,1,0.6
Sharp Angle,4,350,0,0,0,0
Colorado River,4,192000,1,1,0,0.06
structure I,4,50,0,1,0,0.2
Self-Portrait as Goofy-Foot,4,744000,1,0,0,0
tree of life,4,9000,0,1,0,0.1
Flannan,4,936000,1,3,1,0.7
Calvary,4,850,0,0,0,0
RED CHANGER,4,9100,0,2,1,0.3
Samurai,4,85,0,1,0,0
Standing Male Nude in the Shower,4,1160000,1,2,1,0.9
Folly,4,1200,0,1,0,0.35
a place,4,60,0,0,0,0
Nude Aqua,4,70,0,0,0,0
Bruce Bernard,4,119556,1,3,1,1
Yellow spin,4,6000,0,2,1,0.95
The still life with the flowers,4,650,0,1,0,0.4
dance in the living room,4,8000,0,0,0,0
Birdie View II,4,1625,0,1,0,0.16
Rhythmic Structure,4,4500,0,1,0,0.5
Dilusion,4,750,0,0,0,0.02
On The Couch,5,700,0,1,0,0.4
Nu debout,5,689600,1,0,0,0.1
ramana,5,9600,0,1,0,0.1
Captives,5,779200,1,2,1,0.5
Intruder,5,20,0,2,1,0.5
Midsummer Night,5,650,0,2,1,0.5
Flor,5,800,0,1,0,0.2
Red Irises,5,2500,0,1,0,0.1
celestial,5,1900,0,1,0,0.05
Amazing land,5,89,0,2,1,0.5
Lotus Rising,5,14400,0,1,0,0.1
Mandala No3,5,1500,0,1,0,0.5
Quality Material,5,4408000,1,0,0,0.01
It is my thing this Evening,5,4500,0,1,0,0.01
Untitled - P137,5,1810276,1,1,0,0.01
Canada Two Toronto,5,8550,0,1,0,0.01
Night,5,1384000,1,1,0,0.05
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",5,240000,1,1,0,0.01
Head and Bottle,5,6536000,1,1,0,0.01
Keep Me Safe,5,119556,1,2,1,0.01
Mouth #2,5,2168000,1,2,1,0.25
M-39,5,96000,1,1,0,0.01
Armenian Question,5,288000,1,1,0,0.01
