state,expt city,subject,own,meta,confidence,actual
Colorado,Denver,c1,1,0.75,0.7,1
Colorado,Denver,c2,1,0.8,0.8,1
Colorado,Denver,c3,1,0.8,0.9,1
Colorado,Denver,c4,1,0.9,0.9,1
Colorado,Denver,d10,1,0.95,0.85,1
Colorado,Denver,d2,1,0.5,0.5,1
Colorado,Denver,d3,1,0.8,0.9,1
Colorado,Denver,d6,1,0.8,0.9,1
Colorado,Denver,d6b,1,0.75,0.75,1
Colorado,Denver,d7,1,0.8,0.9,1
Colorado,Denver,d8,1,0.8,0.8,1
Colorado,Denver,d9,0,0.5,0.5,1
Connecticut,Bridgeport,52966,1,0.8,0.8,0
Connecticut,Bridgeport,sub1,0,0.5,0.6,0
Connecticut,Bridgeport,31720,0,0.35,1,0
Connecticut,Bridgeport,31828,0,0.2,1,0
Connecticut,Bridgeport,32008,0,0.7,0.7,0
Connecticut,Bridgeport,33550,0,0.6,0.6,0
Connecticut,Bridgeport,43924,0,0.5,0.5,0
Connecticut,Bridgeport,44383,1,0.6,0.6,0
Connecticut,Bridgeport,52807,0,0.6,1,0
Connecticut,Bridgeport,57337,0,0.7,1,0
Connecticut,Bridgeport,57346,0,0.1,0.9,0
Connecticut,Bridgeport,57394,0,0.1,1,0
Connecticut,Bridgeport,57427,0,0.5,0.6,0
Connecticut,Bridgeport,57436,0,0.1,1,0
Connecticut,Bridgeport,666,0,0.4,1,0
Connecticut,Bridgeport,a,0,0.75,0.88,0
Connecticut,Bridgeport,a2,0,0.75,1,0
Connecticut,Bridgeport,b2,0,0.3,0.8,0
Connecticut,Bridgeport,b3,0,0.15,1,0
Connecticut,Bridgeport,b4,0,0.2,1,0
Connecticut,Bridgeport,b5,0,0.6,0.51,0
Connecticut,Bridgeport,c1,0,0.25,1,0
Connecticut,Bridgeport,c2,0,0.5,0.7,0
Connecticut,Bridgeport,c3,0,0.8,0.7,0
Connecticut,Bridgeport,c4,0,0.1,1,0
Connecticut,Bridgeport,d10,0,0.3,0.6,0
Connecticut,Bridgeport,d2,0,0.5,1,0
Connecticut,Bridgeport,d3,0,0.5,0.5,0
Connecticut,Bridgeport,d6,0,0.5,0.5,0
Connecticut,Bridgeport,d6b,0,0.25,1,0
Connecticut,Bridgeport,d7,0,0.4,1,0
Connecticut,Bridgeport,d8,0,0.7,0.55,0
Connecticut,Bridgeport,d9,1,0.5,0.5,0
Delaware,Wilmington,52966,1,0.85,1,0
Delaware,Wilmington,sub1,0,0.5,0.5,0
Delaware,Wilmington,31720,1,0.8,0.8,0
Delaware,Wilmington,31828,0,0.5,0.5,0
Delaware,Wilmington,32008,0,0.7,0.6,0
Delaware,Wilmington,33550,0,0.7,0.6,0
Delaware,Wilmington,43924,0,0.6,0.7,0
Delaware,Wilmington,44383,1,0.6,0.7,0
Delaware,Wilmington,52807,0,0.66,1,0
Delaware,Wilmington,57337,1,0.7,0.6,0
Delaware,Wilmington,57346,0,0.1,0.5,0
Delaware,Wilmington,57394,1,0.3,0.8,0
Delaware,Wilmington,57427,1,0.65,0.5,0
Delaware,Wilmington,57436,0,0.2,1,0
