,actual,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","sc_(0.0, 0.05]","sc_(0.05, 0.1]","sc_(0.1, 0.15]","sc_(0.15, 0.2]","sc_(0.2, 0.25]","sc_(0.25, 0.3]","sc_(0.3, 0.35]","sc_(0.35, 0.4]","sc_(0.4, 0.45]","sc_(0.45, 0.5]","sc_(0.5, 0.55]","sc_(0.55, 0.6]","sc_(0.6, 0.65]","sc_(0.65, 0.7]","sc_(0.7, 0.75]","sc_(0.75, 0.8]","sc_(0.8, 0.85]","sc_(0.85, 0.9]","sc_(0.9, 0.95]","sc_(0.95, 1.0]",number_of_participants,own,topic,mean_sc,std_sc,min_sc,p25_sc,p50_sc,p75_sc,max_sc,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_sc,skew_conf,skew_row_average,skew_row_skew,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF,prelec_prediction,majority_prediction
Alexander the Great became Pharaoh of Egypt,1,0.0,0.15384615384615385,0.0,0.20512820512820512,0.0,0.1282051282051282,0.0,0.10256410256410256,0.0,0.1794871794871795,0.0,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.2564102564102564,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.07692307692307693,0.0,0.07692307692307693,0.05128205128205128,0.05128205128205128,39,0.38461538461538464,trivia_alex,0.6115384615384618,0.2211279513091967,0.05000000000000005,0.5,0.6000000000000003,0.7749999999999995,1.0,0.7256410256410251,0.18023077124670905,0.5,0.6000000000000003,0.6999999999999995,0.8999999999999994,1.0,0.4935300906010768,-0.17196641903875234,0.2482310909345744,3.0584342897975754,1.2334718958865931,0.3846153846153849,2,6,15.0,0,7,0,0
An alpha particle is identical to a helium nucleus,1,0.0,0.2564102564102564,0.0,0.1282051282051282,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.02564102564102564,0.07692307692307693,0.4615384615384616,0.05128205128205128,0.05128205128205128,0.0,0.15384615384615385,0.02564102564102564,0.10256410256410256,0.0,0.0,0.02564102564102564,0.0,39,0.3333333333333333,trivia_alpha,0.5707692307692301,0.1423927965243478,0.20000000000000007,0.5,0.5,0.6900000000000003,0.95,0.5743589743589746,0.09656726239953893,0.5,0.5,0.5,0.6000000000000003,0.8000000000000005,0.7357112210170913,0.46982118993826,1.106306881795904,3.0132110163142443,-0.6619227688023691,0.3333333333333335,8,13,13.0,9,13,0,0
Arizona,1,0.030303030303030307,0.09090909090909093,0.0,0.030303030303030307,0.030303030303030307,0.12121212121212123,0.0,0.18181818181818185,0.030303030303030307,0.3636363636363637,0.030303030303030307,0.0,0.0,0.030303030303030307,0.0,0.0,0.030303030303030307,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.0,0.030303030303030307,0.0,0.09090909090909093,0.030303030303030307,0.3333333333333333,0.060606060606060615,0.12121212121212123,0.030303030303030307,0.09090909090909093,33,0.8484848484848485,state,0.7215151515151516,0.2382110567873743,0.010000000000000005,0.6999999999999996,0.8000000000000004,0.8500000000000004,1.0,0.8287878787878784,0.1845731151833465,0.5,0.6999999999999996,0.8999999999999995,1.0,1.0,-2.03767108819209,-1.4508764515794657,-0.7317387087151095,2.5929660612915524,2.301003285284849,0.15151515151515146,3,0,0.0,3,0,1,1
Arkansas,1,0.0,0.12121212121212123,0.060606060606060615,0.09090909090909093,0.060606060606060615,0.030303030303030307,0.0,0.09090909090909093,0.030303030303030307,0.3636363636363637,0.0,0.0,0.0,0.030303030303030307,0.0,0.0,0.030303030303030307,0.0,0.0,0.12121212121212123,0.060606060606060615,0.030303030303030307,0.030303030303030307,0.18181818181818185,0.15151515151515152,0.21212121212121213,0.030303030303030307,0.060606060606060615,0.0,0.060606060606060615,33,0.7575757575757576,state,0.6969696969696967,0.1739519482587945,0.2000000000000001,0.6000000000000001,0.7399999999999995,0.8000000000000004,0.9899999999999994,0.7954545454545457,0.19540168418367893,0.5,0.6000000000000001,0.8000000000000004,1.0,1.0,-1.2600976127889871,-0.9420557527996214,-0.25843498802688536,2.640359687931722,2.2108070084826754,0.24242424242424224,5,5,0.0,3,5,1,1
Avogadro's constant is greater than Planck's constant,1,0.0,0.07692307692307693,0.0,0.02564102564102564,0.0,0.07692307692307693,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.5384615384615384,0.07692307692307693,0.10256410256410256,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.02564102564102564,39,0.6153846153846154,trivia_constant,0.5297435897435893,0.15164861009804656,0.19000000000000014,0.5,0.5,0.5500000000000004,1.0,0.5769230769230768,0.14041580819225238,0.5,0.5,0.5,0.6000000000000003,0.8999999999999994,-0.493530090601077,0.9055594489236184,1.5765057964956948,2.9995359252686598,0.1704633898713868,0.3846153846153849,5,11,0.0,2,11,1,1
Benign Blue nevus - 2378 005952HB.jpg,0,0.0,0.16,0.0,0.16,0.0,0.32,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.28,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.16,0.0,0.0,25,0.4,dermatology,0.6080000000000004,0.19131126469708984,0.2999999999999999,0.5,0.5999999999999998,0.8000000000000003,0.8999999999999997,0.7880000000000001,0.10923979738782624,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,0.43478260869565216,0.18696542083349046,-0.5783338324790414,2.960187907803984,0.03889239061300395,0.4000000000000001,0,3,0.0,0,3,0,0
Benign Blue nevus_ 5173 021329HB-1.jpg,0,0.0,0.0,0.0,0.08,0.0,0.16,0.0,0.2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.12,0.0,0.04,0.0,0.0,25,0.9166666666666666,dermatology,0.7083333333333331,0.10836246694508317,0.5,0.6749999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.8416666666666667,0.09003366373785203,0.7000000000000001,0.7999999999999999,0.8499999999999998,0.9000000000000002,1.0,-3.464101615137755,-0.19171023080265684,-0.15155286641242824,2.4597435003115207,2.336506385367595,0.08333333333333333,0,0,1.0,0,0,1,1
Benign Compound nevus - 498 011568HB.jpg,0,0.0,0.08,0.0,0.16,0.0,0.4,0.0,0.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.12,0.0,0.08,0.0,0.32,0.0,0.12,0.0,0.08,25,0.04,dermatology,0.7119999999999999,0.16911534525287755,0.5,0.5,0.8000000000000003,0.8000000000000003,1.0,0.8200000000000002,0.11547005383792512,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,4.999999999999999,0.02103482831582015,-0.07059989704764341,3.1241945020818815,-2.284687804786109,0.040000000000000015,0,0,0.0,0,0,0,0
Benign Compund nevus - 3803 011213HB.jpg,0,0.0,0.08,0.0,0.2,0.0,0.4,0.0,0.24,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.2,0.0,0.12,0.0,0.12,0.0,0.08,0.0,0.08,25,0.56,dermatology,0.644,0.18046236911518887,0.2999999999999999,0.5,0.5999999999999998,0.8000000000000003,1.0,0.8039999999999998,0.10598742063723103,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,-0.2574593588973013,0.5217044055009148,-0.08508737307611812,2.8287385452230103,0.6658854814405489,0.44,0,11,11.0,0,11,0,1
Benign Compund nevus 2729 045115HB.jpg,0,0.0,0.08,0.0,0.16,0.0,0.12,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.12,0.0,0.08,0.0,0.0,25,0.3333333333333333,dermatology,0.7000000000000001,0.14770978917519928,0.5,0.5750000000000001,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.7666666666666667,0.1230914909793328,0.5999999999999999,0.7000000000000001,0.75,0.8249999999999998,1.0,0.8124038404635966,-0.20310096011589487,0.4159507663173591,2.930325107999217,-0.6363940947130964,0.3333333333333333,0,0,0.0,0,3,0,0
Benign Compund nevus- 5297  011653HB.jpg,0,0.0,0.08,0.0,0.24,0.0,0.4,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.32,0.0,0.12,0.0,0.24,0.0,0.2,0.0,0.04,0.0,0.0,25,0.4,dermatology,0.6199999999999997,0.16072751268321592,0.20000000000000007,0.5,0.5999999999999998,0.6999999999999997,0.8999999999999997,0.7880000000000001,0.09273618495495707,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,0.43478260869565216,-0.4842986175949948,-0.4274059362563029,2.953091955462852,0.8069158705856662,0.4000000000000001,0,5,0.0,0,5,0,0
Benign Congenital nevus - 2135 011289HB.jpg,0,0.0,0.0,0.0,0.16,0.0,0.12,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.08,0.0,0.0,0.0,0.04,25,0.4166666666666667,dermatology,0.6666666666666666,0.19227505550564009,0.2,0.5999999999999999,0.7000000000000001,0.7249999999999998,1.0,0.8083333333333335,0.09003366373785203,0.7000000000000001,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.9000000000000002,0.3884033249820895,-0.9958411367118228,-0.18476993302337605,2.9247683056089664,1.3307871890423617,0.4166666666666667,0,0,0.0,0,0,0,0
Benign Conpund nevus - 4769 005759HB.jpg,0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,25,0.8333333333333334,dermatology,0.75,0.17837651700316898,0.5,0.5999999999999999,0.75,0.9000000000000002,1.0,0.866666666666667,0.1230914909793328,0.5999999999999999,0.7999999999999999,0.9000000000000002,0.9250000000000002,1.0,-2.0552372125864222,0.0,-0.9878830700037332,2.4873431153942893,1.8633553548716,0.16666666666666666,2,2,2.0,2,2,1,1
Benign Intradermal nevus - 5680 046343HB.jpg,0,0.0,0.08,0.0,0.04,0.0,0.4,0.0,0.36,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.36,0.0,0.24,0.0,0.12,0.0,0.08,25,0.92,dermatology,0.7439999999999999,0.1325393023471403,0.5,0.6999999999999997,0.6999999999999997,0.8000000000000003,1.0,0.84,0.10408329997330663,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,-3.297525541044985,0.14042872858158842,-0.6747875377739523,2.4269209672140515,2.810464207983464,0.08000000000000003,2,2,2.0,2,2,1,1
Benign Nevus cell nevus  1657 000363HB.jpg,0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.28,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.28,0.0,0.04,25,0.9166666666666666,dermatology,0.8333333333333338,0.1435481125130547,0.5,0.7999999999999999,0.9000000000000002,0.9000000000000002,1.0,0.8916666666666669,0.10836246694508313,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9250000000000002,1.0,-3.464101615137755,-1.5899567756203776,-1.8659001966941768,2.4174225334848702,2.1677893548525797,0.08333333333333333,0,0,1.0,0,0,1,1
Benign compund nevus - 6111 045676HB.jpg,0,0.0,0.04,0.0,0.24,0.0,0.36,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.28,0.0,0.24,0.0,0.16,0.0,0.04,0.0,0.04,25,0.28,dermatology,0.6560000000000001,0.14165686240583852,0.4000000000000001,0.5999999999999998,0.5999999999999998,0.6999999999999997,1.0,0.7759999999999999,0.1234233905438242,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,1.0436507793895275,0.4891451689712684,-0.6583657249984064,2.962993521871036,-1.0224937929928888,0.2800000000000002,5,1,0.0,5,1,0,0
Benign intradermal nevus_edited 3019 010381HB.jpg,0,0.0,0.04,0.0,0.12,0.0,0.12,0.0,0.16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.04,0.0,0.0,25,0.5,dermatology,0.6333333333333335,0.17232808737106578,0.4,0.5,0.65,0.7999999999999999,0.9000000000000002,0.8083333333333335,0.11645001528813155,0.5999999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,1.0,0.0,0.01894819452976204,-0.1890182077683367,2.8745200129813036,0.159992680109385,0.5,0,5,0.0,0,5,1,0
Benign keratosis  - 5719 012955HB.jpg,0,0.0,0.04,0.0,0.16,0.0,0.12,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.04,0.0,0.08,25,0.16666666666666666,dermatology,0.6916666666666665,0.2314316444667974,0.2,0.5750000000000001,0.7000000000000001,0.8249999999999998,1.0,0.7916666666666666,0.11645001528813155,0.5999999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,1.0,2.0552372125864222,-0.5655712701280561,0.1890182077683332,3.131063562370162,1.0174945717179438,0.16666666666666666,0,0,0.0,0,0,0,0
Benign keratosis _ 5402 012360HB.jpg,0,0.0,0.08,0.0,0.2,0.0,0.28,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.12,0.0,0.08,0.0,0.32,0.0,0.08,0.0,0.04,25,0.08,dermatology,0.6519999999999997,0.19815818596935805,0.20000000000000007,0.5,0.6999999999999997,0.8000000000000003,1.0,0.7920000000000001,0.11518101695447328,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,3.297525541044981,-0.3464956938813131,-0.8994021756526249,3.1761074446609485,1.3570792901909536,0.08000000000000003,0,0,0.0,0,0,0,0
Benign nevus cell nevus _ 4192 000360HB.jpg,0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.2,0.0,0.04,0.0,0.08,25,0.08333333333333333,dermatology,0.7249999999999998,0.270100991213556,0.0,0.6749999999999999,0.7999999999999999,0.8249999999999998,1.0,0.866666666666667,0.12309149097933275,0.5999999999999999,0.7999999999999999,0.9000000000000002,0.9250000000000002,1.0,3.4641016151377566,-1.9120573967924084,-0.9878830700037341,3.2047795639598013,2.354355716583352,0.08333333333333333,0,0,0.0,0,0,0,0
Benign nevus incepiens 1468  04566HB.jpg,0,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.6,0.0,0.16,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.28,0.0,0.2,0.0,0.12,25,0.04,dermatology,0.7159999999999997,0.24269322199023186,0.20000000000000007,0.5999999999999998,0.8000000000000003,0.8999999999999997,1.0,0.8760000000000002,0.09695359714832658,0.5999999999999998,0.8999999999999997,0.8999999999999997,0.8999999999999997,1.0,4.999999999999999,-1.0770842550068205,-1.2627992779125965,3.2593145416679317,2.0304895874219278,0.040000000000000015,0,0,0.0,0,0,0,0
Billy the Kid never actually shot anyone dead,0,0.0,0.2564102564102564,0.0,0.1794871794871795,0.0,0.1282051282051282,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.2307692307692308,0.05128205128205128,0.28205128205128205,0.02564102564102564,0.1282051282051282,0.0,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.0,39,0.38461538461538464,trivia_billy,0.5605128205128199,0.15498639529341232,0.10000000000000006,0.5,0.6000000000000003,0.6099999999999997,0.8999999999999994,0.6461538461538464,0.14662188004694954,0.5,0.5,0.6000000000000003,0.6999999999999995,1.0,0.4935300906010768,-0.4711264787018837,0.8716691658342137,3.054143498912452,-0.06868646821761311,0.3846153846153849,0,10,0.0,0,10,0,0
"Birmingham, Alabama has a larger population than Birmingham, UK.",0,0.0,0.20512820512820512,0.0,0.28205128205128205,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.02564102564102564,0.1282051282051282,0.02564102564102564,0.4615384615384616,0.0,0.05128205128205128,0.02564102564102564,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.0,0.02564102564102564,39,0.6666666666666666,trivia_birm,0.535384615384615,0.15912335754055645,0.20999999999999994,0.4800000000000003,0.5,0.625,1.0,0.6384615384615381,0.14256186951522518,0.5,0.5,0.6000000000000003,0.6999999999999995,1.0,-0.7357112210170913,0.6985933780494477,0.9924680570519159,2.9012714397766115,1.3151671549114785,0.3333333333333335,5,11,13.0,9,0,1,1
Blackbeard had a wooden leg,0,0.0,0.20512820512820512,0.0,0.20512820512820512,0.0,0.10256410256410256,0.0,0.1282051282051282,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.02564102564102564,0.07692307692307693,0.0,0.05128205128205128,0.02564102564102564,0.0,0.28205128205128205,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.0,0.05128205128205128,39,0.5384615384615384,trivia_leg,0.5817948717948719,0.2238993170680424,0.10000000000000006,0.5,0.5199999999999997,0.75,1.0,0.6948717948717944,0.16850537700106974,0.5,0.5500000000000004,0.6999999999999995,0.8000000000000005,1.0,-0.16054535047329546,-0.07103129730154167,0.4673037339370035,2.941802396099916,0.8793453438755916,0.4615384615384615,15,0,18.0,11,0,0,1
Brass is an alloy of Copper and Mercury,0,0.0,0.2564102564102564,0.0,0.2564102564102564,0.0,0.15384615384615385,0.0,0.1282051282051282,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.28205128205128205,0.02564102564102564,0.1794871794871795,0.05128205128205128,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,39,0.41025641025641024,trivia_brass,0.5989743589743595,0.15761036019572328,0.0,0.5,0.6000000000000003,0.6999999999999995,0.8999999999999994,0.6871794871794875,0.13799215686996438,0.5,0.6000000000000003,0.6999999999999995,0.8000000000000005,1.0,0.37966145557153785,-1.1239080278440103,0.3685511256697519,2.9413072884350417,-0.13494571065608105,0.4102564102564105,5,13,0.0,0,12,0,0
California,0,0.0,0.030303030303030307,0.0,0.0,0.0,0.09090909090909093,0.030303030303030307,0.060606060606060615,0.0,0.696969696969697,0.0,0.09090909090909093,0.0,0.030303030303030307,0.030303030303030307,0.0,0.060606060606060615,0.0,0.0,0.15151515151515152,0.0,0.09090909090909093,0.0,0.030303030303030307,0.09090909090909093,0.060606060606060615,0.030303030303030307,0.18181818181818185,0.060606060606060615,0.060606060606060615,33,0.24242424242424246,state,0.6139393939393937,0.30570553022822666,0.0,0.5,0.6999999999999996,0.8999999999999995,1.0,0.913636363636364,0.16069805112808194,0.5,0.8999999999999995,1.0,1.0,1.0,1.2600976127889871,-0.6400426254417976,-1.867898682970862,3.3243994911688866,0.3212099166563782,0.24242424242424224,0,0,0.0,0,0,0,0
Centipedes are considered insects,0,0.0,0.3076923076923077,0.0,0.1282051282051282,0.0,0.2307692307692308,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.10256410256410256,0.0,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.05128205128205128,0.0,0.15384615384615385,0.05128205128205128,0.10256410256410256,0.0,0.1282051282051282,0.0,0.10256410256410256,0.0,0.1282051282051282,0.0,0.10256410256410256,39,0.6410256410256411,trivia_insects,0.6053846153846153,0.2690220706446352,0.10000000000000006,0.5,0.6000000000000003,0.8000000000000005,1.0,0.7641025641025647,0.15128776951154602,0.5,0.6000000000000003,0.8000000000000005,0.8999999999999994,1.0,-0.6117599486651409,-0.4078342104257761,0.17197883425499236,2.914232625370757,1.2643894652568173,0.3589743589743591,7,0,14.0,6,0,0,1
China borders the same number of countries as Russia,1,0.0,0.1794871794871795,0.0,0.28205128205128205,0.0,0.05128205128205128,0.0,0.05128205128205128,0.0,0.07692307692307693,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.0,0.07692307692307693,0.05128205128205128,0.38461538461538464,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.1282051282051282,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,39,0.41025641025641024,trivia_china,0.5469230769230767,0.1429234952905674,0.10000000000000006,0.5,0.5,0.6449999999999997,0.8500000000000005,0.6487179487179484,0.153677370302364,0.5,0.5,0.6000000000000003,0.6999999999999995,1.0,0.37966145557153785,-0.5161089708102223,0.9425553063826236,2.9903012906135054,-0.12946200712055325,0.4102564102564105,3,14,16.0,0,14,0,0
Colorado,1,0.0,0.030303030303030307,0.030303030303030307,0.09090909090909093,0.09090909090909093,0.09090909090909093,0.060606060606060615,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.030303030303030307,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212123,0.0,0.0,0.030303030303030307,0.060606060606060615,0.09090909090909093,0.3939393939393939,0.09090909090909093,0.12121212121212123,0.060606060606060615,0.0,33,0.9090909090909092,state,0.7533333333333336,0.16833127061442452,0.10999999999999993,0.75,0.8000000000000004,0.8500000000000004,0.9499999999999996,0.8424242424242429,0.1453020625935482,0.5,0.75,0.8999999999999995,1.0,1.0,-2.983408856980289,-2.0981663327404,-0.8242038311553417,2.474937566683407,3.932289124067336,0.09090909090909087,3,3,0.0,3,3,1,1
Columbus crossed the Atlantic in the Mary Rose,0,0.0,0.10256410256410256,0.0,0.1282051282051282,0.0,0.1794871794871795,0.0,0.10256410256410256,0.0,0.3333333333333333,0.0,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.2564102564102564,0.0,0.05128205128205128,0.0,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.1282051282051282,0.1282051282051282,0.0,39,0.1794871794871795,trivia_atlantic,0.6348717948717952,0.2710299244972951,0.0,0.5,0.6999999999999995,0.8649999999999994,0.95,0.7974358974358972,0.18565273111968944,0.5,0.6499999999999996,0.8000000000000005,1.0,1.0,1.7379543996168758,-0.9432750911532326,-0.3507960570541289,3.206225692551357,2.4805646432506028,0.17948717948717954,0,0,0.0,0,0,0,0
Connecticut,0,0.060606060606060615,0.15151515151515152,0.0,0.09090909090909093,0.0,0.060606060606060615,0.0,0.060606060606060615,0.0,0.4545454545454545,0.0,0.0,0.0,0.030303030303030307,0.060606060606060615,0.0,0.09090909090909093,0.09090909090909093,0.0,0.24242424242424246,0.0,0.09090909090909093,0.030303030303030307,0.060606060606060615,0.060606060606060615,0.09090909090909093,0.030303030303030307,0.12121212121212123,0.0,0.0,33,0.09090909090909093,state,0.5757575757575758,0.21400978807974974,0.2000000000000001,0.4000000000000002,0.5,0.75,0.8999999999999995,0.8042424242424245,0.20557891281437254,0.5,0.6000000000000001,0.8799999999999998,1.0,1.0,2.983408856980289,0.0027480140284441416,-0.3320248734760838,3.3017886688262235,0.7909339759841848,0.09090909090909087,0,0,0.0,0,0,0,0
Croatia is on the Iberian Peninsula.,0,0.0,0.3076923076923077,0.0,0.15384615384615385,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.10256410256410256,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.41025641025641024,0.05128205128205128,0.15384615384615385,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,39,0.5128205128205128,trivia_iberian,0.5507692307692305,0.15919839683443998,0.0,0.5,0.5,0.6099999999999997,0.8500000000000005,0.6307692307692312,0.15753670608839782,0.5,0.5,0.6000000000000003,0.6999999999999995,1.0,-0.05337410177873346,-0.7935467495904698,1.375028324968463,2.9665459411770065,0.6402866124430063,0.4871794871794869,0,16,19.0,0,16,1,1
Custer was defeated at Little Bighorn,1,0.0,0.1282051282051282,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.20512820512820512,0.0,0.15384615384615385,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.2307692307692308,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.20512820512820512,0.0,0.07692307692307693,0.02564102564102564,0.07692307692307693,39,0.6410256410256411,trivia_custer,0.6764102564102571,0.1927568304406135,0.20000000000000007,0.5,0.6999999999999995,0.8000000000000005,1.0,0.7487179487179494,0.17751470639120365,0.5,0.6000000000000003,0.8000000000000005,0.8999999999999994,1.0,-0.6117599486651409,-0.3003030698580855,-0.08191631593930147,2.7230906128642967,0.2555721571973344,0.3589743589743591,0,5,0.0,0,5,1,1
Cyprus is the only country to depict its map on its flag,0,0.0,0.3076923076923077,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.10256410256410256,0.5384615384615384,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,39,0.35897435897435903,trivia_cyprus,0.5458974358974361,0.11123039031710026,0.40000000000000013,0.5,0.5,0.6000000000000003,0.8799999999999998,0.5794871794871798,0.10557982058859347,0.5,0.5,0.5,0.6000000000000003,0.8999999999999994,0.6117599486651398,1.3231963280059138,1.4236392016586872,3.014032797779009,-0.3121042794432913,0.3589743589743591,6,12,0.0,6,12,0,0
Delaware,0,0.0,0.09090909090909093,0.0,0.060606060606060615,0.0,0.18181818181818185,0.030303030303030307,0.030303030303030307,0.0,0.30303030303030304,0.0,0.0,0.0,0.030303030303030307,0.0,0.030303030303030307,0.09090909090909093,0.09090909090909093,0.0,0.21212121212121213,0.0,0.09090909090909093,0.030303030303030307,0.12121212121212123,0.030303030303030307,0.15151515151515152,0.030303030303030307,0.09090909090909093,0.0,0.0,33,0.5151515151515151,state,0.5957575757575755,0.20228430338001854,0.16999999999999996,0.5,0.6000000000000001,0.8000000000000004,0.8999999999999995,0.75,0.20691181696558567,0.5,0.5,0.8000000000000004,1.0,1.0,-0.06356028168669535,-0.19407774094141167,-0.019715404317297527,2.994846599550044,0.5892968920235285,0.4848484848484845,0,0,16.0,11,0,0,1
