,actual,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","sc_(0.0, 0.05]","sc_(0.05, 0.1]","sc_(0.1, 0.15]","sc_(0.15, 0.2]","sc_(0.2, 0.25]","sc_(0.25, 0.3]","sc_(0.3, 0.35]","sc_(0.35, 0.4]","sc_(0.4, 0.45]","sc_(0.45, 0.5]","sc_(0.5, 0.55]","sc_(0.55, 0.6]","sc_(0.6, 0.65]","sc_(0.65, 0.7]","sc_(0.7, 0.75]","sc_(0.75, 0.8]","sc_(0.8, 0.85]","sc_(0.85, 0.9]","sc_(0.9, 0.95]","sc_(0.95, 1.0]",number_of_participants,own,topic,mean_sc,std_sc,min_sc,p25_sc,p50_sc,p75_sc,max_sc,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_sc,skew_conf,skew_row_average,skew_row_skew,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF,prelec_prediction,majority_prediction
26 - Malignant ListaImagens\basal_cell_carcinoma8.jpg,1,0.0,0.04,0.0,0.12,0.0,0.24,0.0,0.28,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.12,0.0,0.0,0.0,0.2,0.0,0.28,0.0,0.16,25,0.8,dermatology,0.7560000000000001,0.2042873792805943,0.2999999999999999,0.5999999999999998,0.8000000000000003,0.8999999999999997,1.0,0.872,0.11733143937865358,0.5999999999999998,0.8000000000000003,0.8999999999999997,1.0,1.0,-1.597493310510768,-0.5878463770013157,-0.5803336122047242,2.568136483136021,1.7961731616942551,0.20000000000000007,2,0,0.0,2,0,1,1
27 - Malignant ListaImagens\basal_cell_carcinoma90.jpg,1,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.48,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.16,0.0,0.36,0.0,0.32,25,1.0,dermatology,0.872,0.13391539617733772,0.5,0.8000000000000003,0.8999999999999997,1.0,1.0,0.9319999999999996,0.07483314773547887,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,0.0,-1.25027977688051,-1.266793386549182,2.32247557930093,3.1831086209124875,0.0,0,0,0.0,0,0,1,1
28 - Malignant Squamous Cell Carcinoma ListaImagens\Bowen's_Disease4.jpg,1,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.2,25,1.0,dermatology,0.907692307692308,0.09540735874430288,0.7,0.9000000000000002,0.9000000000000002,1.0,1.0,0.953846153846154,0.06602252917735242,0.8,0.9000000000000002,1.0,1.0,1.0,0.0,-0.8535406489670881,-1.1906485051077775,2.299472372017114,2.3758095248399402,0.0,0,0,0.0,0,0,1,1
29- Malignant ListaImagens\melanocytic_naevi_congenital1.jpg,1,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.2,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.2,25,0.0,dermatology,0.7384615384615383,0.3355057414771058,0.0,0.7,0.9000000000000002,1.0,1.0,0.9230769230769232,0.09268086959962983,0.7,0.9000000000000002,0.9000000000000002,1.0,1.0,0.0,-1.3028365189850573,-1.2736839164484688,3.343223950877117,1.8489664993864376,0.0,0,0,0.0,0,0,0,0
3 - benign dermatofibroma.jpg,0,0.0,0.16,0.0,0.16,0.0,0.36,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.28,0.0,0.16,0.0,0.12,0.0,0.16,0.0,0.12,0.0,0.04,25,0.24,dermatology,0.644,0.17813852287849846,0.4000000000000001,0.5,0.5999999999999998,0.8000000000000003,1.0,0.7719999999999999,0.12423096769056145,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,1.296697626224915,0.37125808680620304,-0.4095437527453989,3.040618776694265,-0.5298539744411545,0.2400000000000001,5,5,0.0,5,5,0,0
30 - Malignant ListaImagens\melanocytic_naevi_intrademal1.jpg,1,0.0,0.0,0.0,0.24,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,25,0.2307692307692308,dermatology,0.6230769230769229,0.1235168419949695,0.29999999999999993,0.5999999999999999,0.5999999999999999,0.7,0.8,0.7846153846153847,0.08987170342729177,0.7,0.7,0.8,0.9000000000000002,0.9000000000000002,1.451132359217084,-1.1411179700647769,0.3419978654437813,3.0539866770333366,0.7061696203067244,0.2307692307692308,0,0,3.0,0,0,0,0
31 - Malignant ListaImagens\melanocytic_naevi_intradermal3.jpg,1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.12,0.0,0.16,25,0.0,dermatology,0.8230769230769232,0.21661735138967272,0.2,0.8,0.9000000000000002,1.0,1.0,0.9307692307692308,0.07510676161988106,0.8,0.9000000000000002,0.9000000000000002,1.0,1.0,0.0,-2.152387185676793,-0.6107009223374684,3.174292011096564,3.584474676425687,0.0,0,0,0.0,0,0,0,0
32 - Malignant ListaImagens\melanoma12.jpg,1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.44,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.44,0.0,0.32,25,1.0,dermatology,0.88,0.1471960144387974,0.4000000000000001,0.8999999999999997,0.8999999999999997,1.0,1.0,0.9319999999999996,0.08524474568362944,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,0.0,-2.1812427146063125,-1.5764458500134382,2.3277434473017427,3.385073843807733,0.0,0,0,0.0,0,0,1,1
33 - Malignant ListaImagens\melanoma14.jpg,1,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.16,0.0,0.12,0.0,0.04,0.0,0.0,25,0.15384615384615385,dermatology,0.6230769230769229,0.23506682083273744,0.0,0.5,0.7,0.8,0.9000000000000002,0.8307692307692313,0.11821319289469752,0.5,0.8,0.8,0.9000000000000002,1.0,2.1787168040147336,-1.6458316133570323,-1.7800496654336693,3.1699190921535867,1.4824392840849128,0.1538461538461538,0,0,2.0,0,0,0,0
35 - Malignant ListaImagens\melanoma33.jpg,1,0.0,0.08,0.0,0.24,0.0,0.44,0.0,0.2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.16,0.0,0.32,0.0,0.28,0.0,0.04,0.0,0.08,0.0,0.04,25,0.48,dermatology,0.644,0.14742229591663986,0.4000000000000001,0.5999999999999998,0.5999999999999998,0.6999999999999997,1.0,0.7880000000000001,0.09712534856222316,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8000000000000003,1.0,0.08526788484268882,0.5939627359774667,-0.03986150381235088,2.8366732197820657,-0.44258095501063655,0.4800000000000002,3,12,12.0,10,12,1,0
