title,subject,actual_price,actual,own_price_bin,own,meta
Quality Material,none-M1,4408000,1,2,1,0.5
It is my thing this Evening,none-M1,4500,0,1,0,0.25
Untitled - P137,none-M1,1810276,1,0,0,0.3
Canada Two Toronto,none-M1,8550,0,0,0,0.2
Night,none-M1,1384000,1,1,0,0.2
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",none-M1,240000,1,0,0,0.2
Head and Bottle,none-M1,6536000,1,1,0,0.4
Keep Me Safe,none-M1,119556,1,2,1,0.2
Mouth #2,none-M1,2168000,1,1,0,0.2
M-39,none-M1,96000,1,0,0,0.1
Armenian Question,none-M1,288000,1,0,0,0.1
Lip-biter,none-M1,384000,1,1,0,0.3
Elemental 11,none-M1,675,0,0,0,0.2
Interval Series apolyo,none-M1,9000,0,2,1,0.2
Galloping Horse Blur,none-M1,1200,0,0,0,0.1
Squirrel Hole,none-M1,85,0,1,0,0.25
Red Scarf,none-M1,54000,1,1,0,0.4
Prelude,none-M1,7500,0,0,0,0.25
Asleep,none-M1,2500,0,0,0,0.25
muse 18,none-M1,3750,0,1,0,0.2
scarlet,none-M1,4000,0,1,0,0.3
Sinking Ship,none-M1,902564,1,0,0,0.1
The town sonnets,none-M1,950,0,1,0,0.25
The girl in red,none-M1,950,0,0,0,0.3
Hotel Window,none-M1,26896000,1,1,0,0.3
Botticelli e Filippino,none-M1,7000,0,1,0,0.1
Ericksons,none-M1,10344000,1,0,0,0.2
BLUE SELLY 2,none-M1,3200,0,1,0,0.4
Censorship,none-M1,7500,0,0,0,0.2
You are beautiful,none-M1,2800,0,1,0,0.2
Portrait of the Artist and His Friends,none-M1,2618925,1,2,1,0.5
HOW MUCH,none-M1,25,0,1,0,0.1
Chorus,none-M1,4800,0,2,1,0.2
Tender Nurse,none-M1,2256000,1,1,0,0.5
Morning,none-M1,1100,0,3,1,0.8
Moth,none-M1,747825,1,1,0,0.2
Green Dress In Blue Space,none-M1,4500,0,0,0,0.2
Falling Figure with Bird,none-M1,1248000,1,2,1,0.5
Those Who Are Here Again,none-M1,824000,1,0,0,0.1
Camel Driver,none-M1,4500,0,2,1,0.75
Portrait-2,none-M1,950,0,2,1,0.75
1304,none-M1,6000,0,2,1,0.8
sleepy land,none-M1,65,0,1,0,0.3
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,none-M1,8000,0,0,0,0.5
Mapping the Soul,none-M1,35,0,1,0,0.2
Bobs World,none-M1,822400,1,1,0,0.3
