state,expt city,subject,meta,own,actual
Connecticut,Bridgeport,2,0.5,0,0
Connecticut,Bridgeport,3,0.75,1,0
Connecticut,Bridgeport,4,0.4,0,0
Connecticut,Bridgeport,5,0.1,0,0
Connecticut,Bridgeport,6,0.5,0,0
Connecticut,Bridgeport,7,0.6,1,0
Connecticut,Bridgeport,8,0.3,0,0
Connecticut,Bridgeport,9,0.5,0,0
Connecticut,Bridgeport,10,0.4,0,0
Connecticut,Bridgeport,11,0.2,0,0
Connecticut,Bridgeport,12,0.8,1,0
Connecticut,Bridgeport,13,0.2,0,0
Connecticut,Bridgeport,14,0.4,1,0
Connecticut,Bridgeport,15,0.5,0,0
Connecticut,Bridgeport,16,0.5,0,0
Connecticut,Bridgeport,17,0.5,1,0
Connecticut,Bridgeport,18,0.5,0,0
Connecticut,Bridgeport,19,0.5,0,0
Connecticut,Bridgeport,20,0.6,0,0
Connecticut,Bridgeport,21,0.6,0,0
Connecticut,Bridgeport,22,0.15,0,0
Connecticut,Bridgeport,23,0.6,0,0
Connecticut,Bridgeport,24,0.8,1,0
Connecticut,Bridgeport,25,0.7,0,0
Connecticut,Bridgeport,26,0.35,0,0
Connecticut,Bridgeport,27,0.5,1,0
Connecticut,Bridgeport,28,0.4,0,0
Connecticut,Bridgeport,29,0.5,0,0
Connecticut,Bridgeport,30,0.2,0,0
Connecticut,Bridgeport,31,0.6,0,0
Connecticut,Bridgeport,32,0.5,0,0
Connecticut,Bridgeport,33,0.7,0,0
Connecticut,Bridgeport,34,0.25,0,0
Connecticut,Bridgeport,35,0.4,0,0
Connecticut,Bridgeport,36,0.8,1,0
Connecticut,Bridgeport,37,0.01,0,0
Connecticut,Bridgeport,38,0.2,0,0
Connecticut,Bridgeport,39,0.8,0,0
Connecticut,Bridgeport,40,0.2,0,0
Connecticut,Bridgeport,41,0.4,0,0
Connecticut,Bridgeport,42,0.3,0,0
Connecticut,Bridgeport,43,0.1,0,0
Connecticut,Bridgeport,44,0.4,0,0
Connecticut,Bridgeport,45,0.8,0,0
Connecticut,Bridgeport,46,0.5,0,0
Connecticut,Bridgeport,47,0.6,0,0
Connecticut,Bridgeport,48,0.8,1,0
Connecticut,Bridgeport,49,0.8,0,0
Connecticut,Bridgeport,50,0,0,0
Connecticut,Bridgeport,51,0,0,0
Delaware,Wilmington,1,0.6,1,0
Delaware,Wilmington,2,0.3,0,0
Delaware,Wilmington,3,0.75,1,0
Delaware,Wilmington,4,0.7,1,0
Delaware,Wilmington,5,0.5,0,0
Delaware,Wilmington,6,0.5,0,0
Delaware,Wilmington,7,0.7,1,0
Delaware,Wilmington,8,0.5,1,0
Delaware,Wilmington,9,0.6,1,0
Delaware,Wilmington,10,0.4,0,0
Delaware,Wilmington,11,0.75,1,0
Delaware,Wilmington,12,0.9,1,0
Delaware,Wilmington,13,0.5,1,0
Delaware,Wilmington,14,0.5,0,0
Delaware,Wilmington,15,0.6,1,0
Delaware,Wilmington,16,0.4,0,0
Delaware,Wilmington,17,0.5,1,0
Delaware,Wilmington,18,0.3,1,0
Delaware,Wilmington,19,0.75,1,0
Delaware,Wilmington,20,0.4,0,0
Delaware,Wilmington,21,0.7,1,0
Delaware,Wilmington,22,0.35,1,0
Delaware,Wilmington,23,0.3,0,0
Delaware,Wilmington,24,0.95,1,0
Delaware,Wilmington,25,0.7,1,0
Delaware,Wilmington,26,0.45,1,0
Delaware,Wilmington,27,0.5,0,0
Delaware,Wilmington,28,0.6,0,0
Delaware,Wilmington,29,0.5,0,0
Delaware,Wilmington,30,0.2,0,0
Delaware,Wilmington,31,0.8,1,0
Delaware,Wilmington,32,0.5,1,0
Delaware,Wilmington,33,1,1,0
Delaware,Wilmington,34,0.5,0,0
Delaware,Wilmington,35,0.2,0,0
Delaware,Wilmington,36,0.3,0,0
Delaware,Wilmington,37,0.7,0,0
Delaware,Wilmington,38,0.6,0,0
Delaware,Wilmington,39,0.7,0,0
Delaware,Wilmington,40,0.5,1,0
Delaware,Wilmington,41,0.4,0,0
Delaware,Wilmington,42,0.5,0,0
Delaware,Wilmington,43,0.1,1,0
Delaware,Wilmington,44,0.4,0,0
Delaware,Wilmington,45,0.6,1,0
Delaware,Wilmington,46,0.5,1,0
Delaware,Wilmington,47,0.7,1,0
Delaware,Wilmington,48,0.6,1,0
Delaware,Wilmington,49,0.5,0,0
Delaware,Wilmington,50,0.77,1,0
Delaware,Wilmington,51,0.1,0,0
Florida,Jacksonville,1,0.6,1,0
Florida,Jacksonville,2,0.4,0,0
Florida,Jacksonville,3,0.75,1,0
Florida,Jacksonville,4,0.4,0,0
Florida,Jacksonville,5,0.9,0,0
Florida,Jacksonville,6,0.5,0,0
Florida,Jacksonville,7,0.5,1,0
Florida,Jacksonville,8,0.5,0,0
Florida,Jacksonville,9,0.8,0,0
Florida,Jacksonville,10,0.4,0,0
