state,expt city,subject,meta,own,actual
Connecticut,Bridgeport,103kd0x1,0.6,1,0
Connecticut,Bridgeport,742x1f2,0.25,0,0
Connecticut,Bridgeport,98pmr1,0.1,0,0
Connecticut,Bridgeport,75ch2x1,0.6,1,0
Connecticut,Bridgeport,64ps1x1,0,0,0
Connecticut,Bridgeport,84nr7x1,0.2,0,0
Connecticut,Bridgeport,86jr9x1,0.4,1,0
Connecticut,Bridgeport,680k5x1,0.35,0,0
Connecticut,Bridgeport,102ck1,0.5,0,0
Connecticut,Bridgeport,106L151,0.4,0,0
Connecticut,Bridgeport,60x03x1,0.5,1,0
Connecticut,Bridgeport,99tfix1,0.4,0,0
Connecticut,Bridgeport,72g2b1,0.8,1,0
Connecticut,Bridgeport,58xob1,0.5,0,0
Connecticut,Bridgeport,55xwx1,0.8,0,0
Connecticut,Bridgeport,123y2x1,0.3,0,0
Connecticut,Bridgeport,109m181,0.5,0,0
Connecticut,Bridgeport,122vzx1,0.7,1,0
Connecticut,Bridgeport,95dvx1,0.2,0,0
Connecticut,Bridgeport,71v2x1,0.6,0,0
Delaware,Wilmington,82pk5x1,0.5,0,0
Delaware,Wilmington,93gb021,0.7,0,0
Delaware,Wilmington,80pf3x1,0.8,0,0
Delaware,Wilmington,78mt2x1,0.4,0,0
Delaware,Wilmington,772h2x1,0.6,1,0
Delaware,Wilmington,100hx091,0.1,0,0
Delaware,Wilmington,83er6x1,0.4,1,0
Delaware,Wilmington,107fk0x1,0.7,0,0
Delaware,Wilmington,65mlx1,0.2,0,0
Delaware,Wilmington,85jr8x1,0.35,0,0
Delaware,Wilmington,76m2x1,0.8,0,0
Delaware,Wilmington,63dv1x1,0.4,0,0
Delaware,Wilmington,103kd0x1,0.8,1,0
Delaware,Wilmington,742x1f2,0.5,0,0
Delaware,Wilmington,98pmr1,0.15,0,0
Delaware,Wilmington,75ch2x1,0.5,1,0
Delaware,Wilmington,64ps1x1,0.2,0,0
Delaware,Wilmington,84nr7x1,0.3,1,0
Delaware,Wilmington,86jr9x1,0.4,0,0
Delaware,Wilmington,680k5x1,0.4,0,0
Delaware,Wilmington,102ck1,0.5,0,0
Delaware,Wilmington,106L151,0.4,0,0
Delaware,Wilmington,60x03x1,0.5,1,0
Delaware,Wilmington,99tfix1,0.5,0,0
Delaware,Wilmington,72g2b1,0.6,1,0
Delaware,Wilmington,58xob1,0.5,1,0
Delaware,Wilmington,55xwx1,0.7,0,0
Delaware,Wilmington,123y2x1,0.3,0,0
Delaware,Wilmington,109m181,0.8,0,0
Delaware,Wilmington,122vzx1,0.8,0,0
Delaware,Wilmington,95dvx1,0.5,1,0
Delaware,Wilmington,71v2x1,0.5,1,0
Florida,Jacksonville,82pk5x1,0.5,1,0
Florida,Jacksonville,93gb021,0.8,0,0
Florida,Jacksonville,80pf3x1,0.6,1,0
Florida,Jacksonville,78mt2x1,0.4,0,0
Florida,Jacksonville,772h2x1,0.5,0,0
Florida,Jacksonville,100hx091,0.9,1,0
Florida,Jacksonville,83er6x1,0.5,0,0
Florida,Jacksonville,107fk0x1,0.95,1,0
Florida,Jacksonville,65mlx1,0.5,0,0
Florida,Jacksonville,85jr8x1,0.5,0,0
Florida,Jacksonville,76m2x1,0.9,0,0
Florida,Jacksonville,63dv1x1,0.3,1,0
Florida,Jacksonville,103kd0x1,0.8,1,0
Florida,Jacksonville,742x1f2,0.45,1,0
Florida,Jacksonville,98pmr1,0.05,0,0
Florida,Jacksonville,75ch2x1,0.6,1,0
Florida,Jacksonville,64ps1x1,0,0,0
Florida,Jacksonville,84nr7x1,0,0,0
Florida,Jacksonville,86jr9x1,0.4,0,0
Florida,Jacksonville,680k5x1,0.25,0,0
Florida,Jacksonville,102ck1,0.5,0,0
Florida,Jacksonville,106L151,0.6,0,0
Florida,Jacksonville,60x03x1,0.7,1,0
Florida,Jacksonville,99tfix1,0.4,0,0
Florida,Jacksonville,72g2b1,0.4,1,0
Florida,Jacksonville,58xob1,0.75,1,0
Florida,Jacksonville,55xwx1,0.75,0,0
Florida,Jacksonville,123y2x1,0.7,1,0
Florida,Jacksonville,109m181,0.3,1,0
Florida,Jacksonville,122vzx1,0.7,0,0
Florida,Jacksonville,95dvx1,0.5,0,0
Florida,Jacksonville,71v2x1,0.6,1,0
Georgia,Atlanta,82pk5x1,0.75,1,1
Georgia,Atlanta,93gb021,1,1,1
Georgia,Atlanta,80pf3x1,0.5,1,1
Georgia,Atlanta,78mt2x1,0.4,0,1
Georgia,Atlanta,772h2x1,0.4,0,1
Georgia,Atlanta,100hx091,0.9,1,1
Georgia,Atlanta,83er6x1,0.6,1,1
Georgia,Atlanta,107fk0x1,0.95,1,1
Georgia,Atlanta,65mlx1,0.99,1,1
Georgia,Atlanta,85jr8x1,0.15,0,1
Georgia,Atlanta,76m2x1,0.97,1,1
Georgia,Atlanta,63dv1x1,0.45,1,1
Georgia,Atlanta,103kd0x1,0.7,1,1
Georgia,Atlanta,742x1f2,0.95,1,1
Georgia,Atlanta,98pmr1,1,1,1
Georgia,Atlanta,75ch2x1,0.5,0,1
Georgia,Atlanta,64ps1x1,0.85,1,1
Georgia,Atlanta,84nr7x1,1,1,1
Georgia,Atlanta,86jr9x1,0.6,1,1
Georgia,Atlanta,680k5x1,0.6,1,1
Georgia,Atlanta,102ck1,0.5,0,1
Georgia,Atlanta,106L151,0.9,1,1
Georgia,Atlanta,60x03x1,0.5,0,1
Georgia,Atlanta,99tfix1,0.4,1,1
Georgia,Atlanta,72g2b1,0.6,1,1
Georgia,Atlanta,58xob1,0.75,1,1
Georgia,Atlanta,55xwx1,0.9,1,1
Georgia,Atlanta,123y2x1,0.7,1,1
Georgia,Atlanta,109m181,0.7,1,1
Georgia,Atlanta,122vzx1,0.8,1,1
Georgia,Atlanta,95dvx1,0.75,1,1
Georgia,Atlanta,71v2x1,0.5,1,1
Hawaii,Honolulu,82pk5x1,0.8,1,1
Hawaii,Honolulu,93gb021,1,1,1
Hawaii,Honolulu,80pf3x1,0.9,1,1
Hawaii,Honolulu,78mt2x1,0.4,1,1
Hawaii,Honolulu,772h2x1,1,1,1
Hawaii,Honolulu,100hx091,0.98,1,1
Hawaii,Honolulu,83er6x1,1,1,1
Hawaii,Honolulu,107fk0x1,0.95,1,1
Hawaii,Honolulu,65mlx1,1,1,1
Hawaii,Honolulu,85jr8x1,0.15,0,1
Hawaii,Honolulu,76m2x1,0.98,1,1
Hawaii,Honolulu,63dv1x1,0.42,1,1
Hawaii,Honolulu,103kd0x1,0.9,1,1
Hawaii,Honolulu,742x1f2,0.98,1,1
Hawaii,Honolulu,98pmr1,1,1,1
Hawaii,Honolulu,75ch2x1,0.5,1,1
Hawaii,Honolulu,64ps1x1,0.95,1,1
Hawaii,Honolulu,84nr7x1,1,1,1
Hawaii,Honolulu,86jr9x1,0.6,1,1
Hawaii,Honolulu,680k5x1,0.9,1,1
Hawaii,Honolulu,102ck1,0.5,0,1
Hawaii,Honolulu,106L151,0.9,1,1
Hawaii,Honolulu,60x03x1,0.5,1,1
Hawaii,Honolulu,99tfix1,0.5,1,1
Hawaii,Honolulu,72g2b1,1,1,1
Hawaii,Honolulu,58xob1,0.5,1,1
Hawaii,Honolulu,55xwx1,0.95,1,1
Hawaii,Honolulu,123y2x1,0.7,1,1
Hawaii,Honolulu,109m181,0.9,1,1
Hawaii,Honolulu,122vzx1,0.9,1,1
Hawaii,Honolulu,95dvx1,0.85,1,1
Hawaii,Honolulu,71v2x1,0.8,1,1
