q,actual,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","meta_(0.0, 0.05]","meta_(0.05, 0.1]","meta_(0.1, 0.15]","meta_(0.15, 0.2]","meta_(0.2, 0.25]","meta_(0.25, 0.3]","meta_(0.3, 0.35]","meta_(0.35, 0.4]","meta_(0.4, 0.45]","meta_(0.45, 0.5]","meta_(0.5, 0.55]","meta_(0.55, 0.6]","meta_(0.6, 0.65]","meta_(0.65, 0.7]","meta_(0.7, 0.75]","meta_(0.75, 0.8]","meta_(0.8, 0.85]","meta_(0.85, 0.9]","meta_(0.9, 0.95]","meta_(0.95, 1.0]",number_of_participants,own,topic
New_Mexico,0,0.06060606060606061,0.15151515151515152,0.0,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.0,0.12121212121212122,0.0,0.30303030303030304,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.12121212121212122,0.0,0.18181818181818182,0.030303030303030304,0.15151515151515152,0.09090909090909091,0.21212121212121213,0.030303030303030304,0.030303030303030304,0.0,0.0,33,0.6363636363636364,state
New_York,0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.9696969696969697,0.09090909090909091,0.09090909090909091,0.12121212121212122,0.0,0.0,0.09090909090909091,0.0,0.06060606060606061,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.24242424242424243,33,0.2727272727272727,state
North_Carolina,0,0.09090909090909091,0.12121212121212122,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.12121212121212122,0.030303030303030304,0.36363636363636365,0.0,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.18181818181818182,0.030303030303030304,0.15151515151515152,0.0,0.21212121212121213,0.0,0.09090909090909091,0.0,0.12121212121212122,0.0,0.030303030303030304,33,0.5757575757575758,state
North_Dakota,0,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.06060606060606061,0.0,0.15151515151515152,0.0,0.030303030303030304,0.0,0.21212121212121213,0.030303030303030304,0.0,0.0,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.0,0.2727272727272727,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.15151515151515152,0.0,0.030303030303030304,0.0,0.0,33,0.3939393939393939,state
Ohio,1,0.06060606060606061,0.15151515151515152,0.0,0.09090909090909091,0.06060606060606061,0.12121212121212122,0.0,0.09090909090909091,0.0,0.36363636363636365,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.12121212121212122,0.0,0.21212121212121213,0.09090909090909091,0.21212121212121213,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.0,33,0.7878787878787878,state
Oklahoma,1,0.06060606060606061,0.09090909090909091,0.0,0.06060606060606061,0.030303030303030304,0.15151515151515152,0.0,0.09090909090909091,0.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.15151515151515152,0.06060606060606061,0.2727272727272727,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.09090909090909091,33,0.8787878787878788,state
Oregon,0,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.030303030303030304,0.15151515151515152,0.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.18181818181818182,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.2727272727272727,0.06060606060606061,0.21212121212121213,0.0,0.030303030303030304,33,0.696969696969697,state
Pennsylvania,0,0.0,0.06060606060606061,0.0,0.06060606060606061,0.0,0.15151515151515152,0.0,0.09090909090909091,0.06060606060606061,0.5757575757575758,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.12121212121212122,0.0,0.09090909090909091,0.06060606060606061,0.24242424242424243,0.06060606060606061,0.3333333333333333,0.030303030303030304,0.0,33,0.6666666666666666,state
Rhode_Island,1,0.030303030303030304,0.030303030303030304,0.0,0.12121212121212122,0.0,0.15151515151515152,0.0,0.15151515151515152,0.0,0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.12121212121212122,0.06060606060606061,0.24242424242424243,0.09090909090909091,0.24242424242424243,0.09090909090909091,0.06060606060606061,33,0.9393939393939394,state
South_Carolina,1,0.0,0.18181818181818182,0.0,0.12121212121212122,0.0,0.030303030303030304,0.0,0.12121212121212122,0.0,0.2727272727272727,0.030303030303030304,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.24242424242424243,0.0,0.21212121212121213,0.030303030303030304,0.18181818181818182,0.0,0.15151515151515152,0.030303030303030304,0.0,0.0,0.0,33,0.6363636363636364,state
